id,Transcript,QX1410,transcript_CTROP,structure
OG0000187,10,1,4,many:one:many
OG0000188,0,2,13,none:many:many
OG0000189,4,3,8,many:many:many
OG0000190,2,3,10,many:many:many
OG0000191,0,15,0,none:many:none
OG0000192,4,5,6,many:many:many
OG0000193,1,0,14,one:none:many
OG0000194,15,0,0,many:none:none
OG0000195,15,0,0,many:none:none
OG0000196,13,0,2,many:none:many
OG0000197,15,0,0,many:none:none
OG0000198,0,0,15,none:none:many
OG0000199,0,0,15,none:none:many
OG0000200,0,0,15,none:none:many
OG0000201,0,0,15,none:none:many
OG0000202,4,6,4,many:many:many
OG0000203,3,10,1,many:many:one
OG0000204,0,7,7,none:many:many
OG0000205,0,14,0,none:many:none
OG0000206,2,9,3,many:many:many
OG0000207,6,4,4,many:many:many
OG0000208,5,5,4,many:many:many
OG0000209,6,1,7,many:one:many
OG0000210,4,5,5,many:many:many
OG0000211,1,5,8,one:many:many
OG0000212,0,14,0,none:many:none
OG0000213,7,2,5,many:many:many
OG0000214,5,5,4,many:many:many
OG0000215,0,1,13,none:one:many
OG0000216,0,2,12,none:many:many
OG0000217,0,1,13,none:one:many
OG0000218,4,2,8,many:many:many
OG0000219,0,1,13,none:one:many
OG0000220,3,3,8,many:many:many
OG0000221,0,6,8,none:many:many
OG0000222,11,2,1,many:many:one
OG0000223,0,1,13,none:one:many
OG0000224,11,1,2,many:one:many
OG0000225,14,0,0,many:none:none
OG0000226,13,0,1,many:none:one
OG0000227,14,0,0,many:none:none
OG0000228,0,0,14,none:none:many
OG0000229,0,13,0,none:many:none
OG0000230,8,3,2,many:many:many
OG0000231,2,1,10,many:one:many
OG0000232,6,4,3,many:many:many
OG0000233,0,12,1,none:many:one
OG0000234,1,11,1,one:many:one
OG0000235,9,3,1,many:many:one
OG0000236,7,4,2,many:many:many
OG0000237,3,5,5,many:many:many
OG0000238,0,13,0,none:many:none
OG0000239,1,3,9,one:many:many
OG0000240,9,3,1,many:many:one
OG0000241,0,13,0,none:many:none
OG0000242,8,2,3,many:many:many
OG0000243,0,2,11,none:many:many
OG0000244,0,4,9,none:many:many
OG0000245,11,1,1,many:one:one
OG0000246,11,1,1,many:one:one
OG0000247,5,5,3,many:many:many
OG0000248,3,6,4,many:many:many
OG0000249,0,13,0,none:many:none
OG0000250,0,13,0,none:many:none
OG0000251,5,3,5,many:many:many
OG0000252,0,12,1,none:many:one
OG0000253,0,13,0,none:many:none
OG0000254,6,2,5,many:many:many
OG0000255,10,1,2,many:one:many
OG0000256,5,4,4,many:many:many
OG0000257,3,6,4,many:many:many
OG0000258,6,5,2,many:many:many
OG0000259,1,3,9,one:many:many
OG0000260,3,3,7,many:many:many
OG0000261,1,12,0,one:many:none
OG0000262,4,2,7,many:many:many
OG0000263,1,2,10,one:many:many
OG0000264,5,5,3,many:many:many
OG0000265,0,1,12,none:one:many
OG0000266,5,1,7,many:one:many
OG0000267,8,2,3,many:many:many
OG0000268,13,0,0,many:none:none
OG0000269,1,0,12,one:none:many
OG0000270,0,0,13,none:none:many
OG0000271,0,0,13,none:none:many
OG0000272,0,0,13,none:none:many
OG0000273,0,0,13,none:none:many
OG0000274,0,0,13,none:none:many
OG0000275,0,0,13,none:none:many
OG0000276,5,2,5,many:many:many
OG0000277,0,12,0,none:many:none
OG0000278,0,12,0,none:many:none
OG0000279,1,5,6,one:many:many
OG0000280,1,10,1,one:many:one
OG0000281,0,12,0,none:many:none
OG0000282,0,3,9,none:many:many
OG0000283,4,3,5,many:many:many
OG0000284,8,2,2,many:many:many
OG0000285,2,6,4,many:many:many
OG0000286,4,4,4,many:many:many
OG0000287,11,1,0,many:one:none
OG0000288,7,2,3,many:many:many
OG0000289,0,3,9,none:many:many
OG0000290,0,12,0,none:many:none
OG0000291,7,5,0,many:many:none
OG0000292,0,12,0,none:many:none
OG0000293,10,1,1,many:one:one
OG0000294,2,5,5,many:many:many
OG0000295,0,11,1,none:many:one
OG0000296,3,8,1,many:many:one
OG0000297,0,12,0,none:many:none
OG0000298,8,2,2,many:many:many
OG0000299,5,1,6,many:one:many
OG0000300,2,5,5,many:many:many
OG0000301,0,12,0,none:many:none
OG0000302,0,12,0,none:many:none
OG0000303,1,8,3,one:many:many
OG0000304,0,5,7,none:many:many
OG0000305,10,1,1,many:one:one
OG0000306,0,2,10,none:many:many
OG0000307,1,9,2,one:many:many
OG0000308,0,2,10,none:many:many
OG0000309,4,4,4,many:many:many
OG0000310,5,5,2,many:many:many
OG0000311,1,2,9,one:many:many
OG0000312,10,1,1,many:one:one
OG0000313,0,2,10,none:many:many
OG0000314,12,0,0,many:none:none
OG0000315,1,0,11,one:none:many
OG0000316,3,0,9,many:none:many
OG0000317,12,0,0,many:none:none
OG0000318,12,0,0,many:none:none
OG0000319,12,0,0,many:none:none
OG0000320,0,0,12,none:none:many
OG0000321,0,0,12,none:none:many
OG0000322,0,0,12,none:none:many
OG0000323,3,5,3,many:many:many
OG0000324,4,3,4,many:many:many
OG0000325,0,11,0,none:many:none
OG0000326,3,2,6,many:many:many
OG0000327,9,2,0,many:many:none
OG0000328,9,2,0,many:many:none
OG0000329,2,8,1,many:many:one
OG0000330,0,2,9,none:many:many
OG0000331,4,3,4,many:many:many
OG0000332,5,2,4,many:many:many
OG0000333,6,1,4,many:one:many
OG0000334,1,1,9,one:one:many
OG0000335,0,2,9,none:many:many
OG0000336,7,3,1,many:many:one
OG0000337,5,3,3,many:many:many
OG0000338,7,2,2,many:many:many
OG0000339,5,4,2,many:many:many
OG0000340,3,1,7,many:one:many
OG0000341,3,1,7,many:one:many
OG0000342,7,4,0,many:many:none
OG0000343,2,5,4,many:many:many
OG0000344,3,1,7,many:one:many
OG0000345,1,3,7,one:many:many
OG0000346,0,11,0,none:many:none
OG0000347,6,3,2,many:many:many
OG0000348,1,10,0,one:many:none
OG0000349,3,1,7,many:one:many
OG0000350,0,11,0,none:many:none
OG0000351,4,4,3,many:many:many
OG0000352,0,11,0,none:many:none
OG0000353,0,11,0,none:many:none
OG0000354,4,4,3,many:many:many
OG0000355,0,3,8,none:many:many
OG0000356,3,3,5,many:many:many
OG0000357,8,3,0,many:many:none
OG0000358,0,11,0,none:many:none
OG0000359,5,4,2,many:many:many
OG0000360,0,11,0,none:many:none
OG0000361,9,2,0,many:many:none
OG0000362,0,11,0,none:many:none
OG0000363,4,3,4,many:many:many
OG0000364,9,1,1,many:one:one
OG0000365,9,1,1,many:one:one
OG0000366,5,3,3,many:many:many
OG0000367,5,2,4,many:many:many
OG0000368,0,2,9,none:many:many
OG0000369,0,11,0,none:many:none
