id,Transcript,QX1410,transcript_CTROP,structure
OG0003090,1,1,1,one:one:one
OG0003091,1,1,1,one:one:one
OG0003092,1,1,1,one:one:one
OG0003093,1,1,1,one:one:one
OG0003094,1,1,1,one:one:one
OG0003095,1,1,1,one:one:one
OG0003096,1,1,1,one:one:one
OG0003097,1,1,1,one:one:one
OG0003098,1,1,1,one:one:one
OG0003099,1,1,1,one:one:one
OG0003100,1,1,1,one:one:one
OG0003101,1,1,1,one:one:one
OG0003102,1,1,1,one:one:one
OG0003103,1,1,1,one:one:one
OG0003104,1,1,1,one:one:one
OG0003105,1,1,1,one:one:one
OG0003106,1,1,1,one:one:one
OG0003107,1,1,1,one:one:one
OG0003108,1,1,1,one:one:one
OG0003109,1,1,1,one:one:one
OG0003110,1,1,1,one:one:one
OG0003111,1,1,1,one:one:one
OG0003112,1,1,1,one:one:one
OG0003113,1,1,1,one:one:one
OG0003114,1,1,1,one:one:one
OG0003115,1,1,1,one:one:one
OG0003116,1,1,1,one:one:one
OG0003117,1,1,1,one:one:one
OG0003118,1,1,1,one:one:one
OG0003119,1,1,1,one:one:one
OG0003120,1,1,1,one:one:one
OG0003121,1,1,1,one:one:one
OG0003122,1,1,1,one:one:one
OG0003123,1,1,1,one:one:one
OG0003124,1,1,1,one:one:one
OG0003125,1,1,1,one:one:one
OG0003126,1,1,1,one:one:one
OG0003127,1,1,1,one:one:one
OG0003128,1,1,1,one:one:one
OG0003130,1,1,1,one:one:one
OG0003131,1,1,1,one:one:one
OG0003132,1,1,1,one:one:one
OG0003133,1,1,1,one:one:one
OG0003134,1,1,1,one:one:one
OG0003135,1,1,1,one:one:one
OG0003136,1,1,1,one:one:one
OG0003137,1,1,1,one:one:one
OG0003138,1,1,1,one:one:one
OG0003139,1,1,1,one:one:one
OG0003140,1,1,1,one:one:one
OG0003141,1,1,1,one:one:one
OG0003142,1,1,1,one:one:one
OG0003143,1,1,1,one:one:one
OG0003144,1,1,1,one:one:one
OG0003145,1,1,1,one:one:one
OG0003146,1,1,1,one:one:one
OG0003147,1,1,1,one:one:one
OG0003148,1,1,1,one:one:one
OG0003149,1,1,1,one:one:one
OG0003150,1,1,1,one:one:one
OG0003151,1,1,1,one:one:one
OG0003152,1,1,1,one:one:one
OG0003153,1,1,1,one:one:one
OG0003154,1,1,1,one:one:one
OG0003155,1,1,1,one:one:one
OG0003156,1,1,1,one:one:one
OG0003157,1,1,1,one:one:one
OG0003158,1,1,1,one:one:one
OG0003159,1,1,1,one:one:one
OG0003160,1,1,1,one:one:one
OG0003161,1,1,1,one:one:one
OG0003162,1,1,1,one:one:one
OG0003163,1,1,1,one:one:one
OG0003165,1,1,1,one:one:one
OG0003166,1,1,1,one:one:one
OG0003167,1,1,1,one:one:one
OG0003168,1,1,1,one:one:one
OG0003169,1,1,1,one:one:one
OG0003170,1,1,1,one:one:one
OG0003171,1,1,1,one:one:one
OG0003172,1,1,1,one:one:one
OG0003173,1,1,1,one:one:one
